,BusNum,BusKVVolt,BusName,Latitude:1,Longitude:1,SubNum,BusNomVolt
0,1,137.1092479,HALEIWA69,21.342367,-157.9011,1,138
1,2,68.39452602,ALOHA69,21.344246,-157.939889,1,138
2,3,67.93378807,FLOWER69,21.347927,-157.876274,2,138
3,4,67.53719093,WAVE69,21.293143,-157.848767,3,138
4,5,136.4798866,HONOLULU138,21.316548,-157.845053,4,138
5,6,67.70324261,HONOLULU69,21.316548,-157.845053,4,138
6,7,67.66020032,SURF69,21.291518,-157.826869,5,138
7,8,67.52468828,COGEN69,21.311667,-157.713889,6,138
8,9,136.173953,TURTLE138,21.273462,-157.822444,7,138
9,10,67.68492691,TURTLE69,21.273462,-157.822444,7,138
10,11,67.26889327,MAHALO69,21.35548,-157.821663,8,138
11,12,67.43555828,LYCHEE69,21.32021,-157.810758,9,138
12,13,67.54775662,COCONUT69,21.290612,-157.788328,10,138
13,14,135.7594486,KAILUA138,21.395084,-157.758188,11,138
