,BusNum,BusNum:1,LineCircuit,LineR,LineX,BranchDeviceType,LineStatus,Latitude,Longitude,Latitude:1,Longitude:1,BusNomVolt,LineLimitPercent,LineMVA
0,1,5,1,0.0034,0.020913,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,138.0,34.33253575,79.92614558
1,1,5,2,0.0034,0.020913,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,138.0,34.33253575,79.92614558
2,1,22,1,0.00374,0.024173,Line,Closed,21.344246,-157.939889,21.417469,-157.983838,138.0,12.78297703,22.72813312
3,1,25,1,0.00289,0.015798,Line,Closed,21.344246,-157.939889,21.344756,-158.022282,138.0,30.56705011,66.33050108
4,1,25,2,0.00289,0.015798,Line,Closed,21.344246,-157.939889,21.344756,-158.022282,138.0,30.56705011,66.33050108
5,1,35,1,0.0108,0.041922,Line,Closed,21.344246,-157.939889,21.303419,-158.106528,138.0,21.85333775,61.53899876
6,1,35,2,0.0108,0.041922,Line,Closed,21.344246,-157.939889,21.303419,-158.106528,138.0,21.85333775,61.53899876
7,2,26,2,0.03049,0.066116,Line,Closed,21.344246,-157.939889,21.344756,-158.022282,69.0,15.29121727,9.43468081
8,2,26,1,0.03049,0.066116,Line,Closed,21.344246,-157.939889,21.344756,-158.022282,69.0,15.29121727,9.43468081
9,2,23,3,0.03262,0.08103,Line,Closed,21.344246,-157.939889,21.417469,-157.983838,69.0,36.77865588,37.25677883
10,2,23,2,0.03262,0.08103,Line,Closed,21.344246,-157.939889,21.417469,-157.983838,69.0,36.77865588,37.25677883
11,2,23,1,0.03262,0.08103,Line,Closed,21.344246,-157.939889,21.417469,-157.983838,69.0,36.77865588,37.25677883
12,2,6,1,0.02689,0.0586,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,69.0,54.97902862,45.08280308
13,2,7,1,0.02754,0.075691,Line,Closed,21.344246,-157.939889,21.291518,-157.826869,69.0,50.36118315,39.18100035
14,2,6,2,0.02689,0.0586,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,69.0,54.97902862,45.08280308
15,2,4,1,0.04296,0.079357,Line,Closed,21.344246,-157.939889,21.293143,-157.848767,69.0,55.33626143,36.96462168
16,2,21,1,0.03646,0.077337,Line,Closed,21.344246,-157.939889,21.406053,-157.884952,69.0,31.39585766,29.76327349
17,3,19,3,0.01382,0.031229,Line,Closed,21.347927,-157.876274,21.417374,-157.936867,69.0,69.34580141,63.52075469
18,3,21,1,0.02423,0.047508,Line,Closed,21.347927,-157.876274,21.406053,-157.884952,69.0,38.78425012,19.00428293
19,3,19,2,0.01382,0.031229,Line,Closed,21.347927,-157.876274,21.417374,-157.936867,69.0,69.34580141,63.52075469
20,3,16,1,0.02383,0.063585,Line,Closed,21.347927,-157.876274,21.311063,-157.750269,69.0,52.08051583,43.12266758
21,3,6,2,0.01478,0.03669,Line,Closed,21.347927,-157.876274,21.316548,-157.845053,69.0,41.22263683,35.03924229
22,3,6,1,0.01478,0.03669,Line,Closed,21.347927,-157.876274,21.316548,-157.845053,69.0,41.22263683,35.03924229
23,3,19,1,0.01382,0.031229,Line,Closed,21.347927,-157.876274,21.417374,-157.936867,69.0,69.34580141,63.52075469
24,4,13,1,0.01214,0.038486,Line,Closed,21.293143,-157.848767,21.290612,-157.788328,69.0,27.23833783,14.49079587
25,5,9,1,0.00229,0.012058,Line,Closed,21.316548,-157.845053,21.273462,-157.822444,138.0,40.32226891,68.83011373
26,5,14,1,0.00574,0.038815,Line,Closed,21.316548,-157.845053,21.395084,-157.758188,138.0,29.57670523,48.06214599
27,6,11,1,0.0198,0.042395,Line,Closed,21.316548,-157.845053,21.35548,-157.821663,69.0,42.67545118,37.98115094
28,6,12,1,0.01364,0.033191,Line,Closed,21.316548,-157.845053,21.32021,-157.810758,69.0,56.24158708,33.07005318
29,6,12,2,0.01364,0.033191,Line,Closed,21.316548,-157.845053,21.32021,-157.810758,69.0,56.24158708,33.07005318
30,7,13,2,0.00941,0.027706,Line,Closed,21.291518,-157.826869,21.290612,-157.788328,69.0,61.88993006,24.8797525
31,7,13,1,0.00941,0.027706,Line,Closed,21.291518,-157.826869,21.290612,-157.788328,69.0,61.88993006,24.8797525
32,7,10,1,0.004,0.01,Line,Closed,21.291518,-157.826869,21.273462,-157.822444,69.0,8.93138931,4.46569466
33,7,6,2,0.004,0.01,Line,Closed,21.291518,-157.826869,21.316548,-157.845053,69.0,57.26842202,23.02190622
34,7,13,3,0.00941,0.027706,Line,Closed,21.291518,-157.826869,21.290612,-157.788328,69.0,61.88993006,24.8797525
35,7,6,1,0.004,0.01,Line,Closed,21.291518,-157.826869,21.316548,-157.845053,69.0,57.26842202,23.02190622
36,7,6,3,0.004,0.01,Line,Closed,21.291518,-157.826869,21.316548,-157.845053,69.0,57.26842202,23.02190622
37,8,19,1,0.03699,0.102463,Line,Closed,21.451733,-157.824227,21.417374,-157.936867,69.0,39.61676113,35.65508407
38,8,19,2,0.03699,0.102463,Line,Closed,21.451733,-157.824227,21.417374,-157.936867,69.0,39.61676113,35.65508407
39,8,15,1,0.03139,0.075848,Line,Closed,21.451733,-157.824227,21.395084,-157.758188,69.0,7.89510601,6.70294482
40,9,14,1,0.00933,0.037848,Line,Closed,21.273462,-157.822444,21.395084,-157.758188,138.0,15.7551575,26.67348099
41,11,13,1,0.01844,0.047771,Line,Closed,21.35548,-157.821663,21.290612,-157.788328,69.0,35.10094854,15.90073001
42,11,15,1,0.02328,0.069221,Line,Closed,21.35548,-157.821663,21.395084,-157.758188,69.0,25.26695694,12.27974111
43,12,15,1,0.01511,0.041464,Line,Closed,21.32021,-157.810758,21.395084,-157.758188,69.0,9.10949889,7.01431397
44,12,17,1,0.02278,0.065341,Line,Closed,21.32021,-157.810758,21.335013,-157.710924,69.0,38.19991876,19.06175995
45,13,16,1,0.01309,0.032547,Line,Closed,21.290612,-157.788328,21.311063,-157.750269,69.0,37.51654251,19.50860139
46,16,18,1,0.01553,0.039228,Line,Closed,21.311063,-157.750269,21.294518,-157.688748,69.0,58.33071317,30.15697985
47,17,18,1,0.00984,0.029754,Line,Closed,21.335013,-157.710924,21.294518,-157.688748,69.0,15.7739152,7.55570541
48,19,23,4,0.01258,0.030449,Line,Closed,21.417374,-157.936867,21.417469,-157.983838,69.0,77.90222893,78.13593725
49,19,23,3,0.01258,0.030449,Line,Closed,21.417374,-157.936867,21.417469,-157.983838,69.0,77.90222893,78.13593725
50,19,23,2,0.01258,0.030449,Line,Closed,21.417374,-157.936867,21.417469,-157.983838,69.0,77.90222893,78.13593725
51,19,23,1,0.01258,0.030449,Line,Closed,21.417374,-157.936867,21.417469,-157.983838,69.0,77.90222893,78.13593725
52,20,23,1,0.04266,0.074844,Line,Closed,21.482531,-157.934221,21.417469,-157.983838,69.0,14.33058364,12.29564048
53,20,30,1,0.0278,0.068487,Line,Closed,21.482531,-157.934221,21.57139,-157.979384,69.0,56.94003489,36.66938212
54,20,32,1,0.01494,0.039916,Line,Closed,21.482531,-157.934221,21.55775,-157.905396,69.0,50.03315556,26.01723994
55,22,25,1,0.00298,0.017679,Line,Closed,21.417469,-157.983838,21.344756,-158.022282,138.0,11.01079769,30.4999094
56,22,37,1,0.00682,0.040841,Line,Closed,21.417469,-157.983838,21.356395,-158.128853,138.0,15.96678431,46.76670967
57,23,34,2,0.03014,0.09172,Line,Closed,21.417469,-157.983838,21.4785,-158.0581,69.0,0.50408495,0.37503921
58,23,34,1,0.03014,0.09172,Line,Closed,21.417469,-157.983838,21.4785,-158.0581,69.0,0.50408495,0.37503921
59,24,26,1,0.01645,0.05348,Line,Closed,21.363106,-158.082206,21.344756,-158.022282,69.0,6.96497157,4.56902148
60,24,26,2,0.01645,0.05348,Line,Closed,21.363106,-158.082206,21.344756,-158.022282,69.0,6.96497157,4.56902148
61,24,33,1,0.0169,0.033191,Line,Closed,21.363106,-158.082206,21.468626,-158.166919,69.0,44.3629894,30.83227732
62,24,36,1,0.01893,0.037551,Line,Closed,21.363106,-158.082206,21.311667,-158.113889,69.0,19.5477836,9.51977039
63,25,37,1,0.00489,0.026145,Line,Closed,21.344756,-158.022282,21.356395,-158.128853,138.0,23.44304202,52.51241434
64,25,35,2,0.00413,0.02442,Line,Closed,21.344756,-158.022282,21.303419,-158.106528,138.0,32.23515476,64.92159972
65,25,37,2,0.00489,0.026145,Line,Closed,21.344756,-158.022282,21.356395,-158.128853,138.0,23.44304202,52.51241434
66,25,35,1,0.00413,0.02442,Line,Closed,21.344756,-158.022282,21.303419,-158.106528,138.0,32.23515476,64.92159972
67,27,29,1,0.02388,0.042832,Line,Closed,21.658692,-157.978792,21.618479,-157.943953,69.0,80.96106444,54.64871946
68,28,30,1,0.0112,0.031396,Line,Closed,21.621367,-158.048011,21.57139,-157.979384,69.0,52.19466296,36.53626345
69,28,30,2,0.0112,0.031396,Line,Closed,21.621367,-158.048011,21.57139,-157.979384,69.0,52.19466296,36.53626345
70,28,31,1,0.05107,0.104683,Line,Closed,21.621367,-158.048011,21.56364,-158.185151,69.0,60.69561767,35.38554536
71,29,30,1,0.01479,0.036656,Line,Closed,21.618479,-157.943953,21.57139,-157.979384,69.0,29.0135162,14.30366351
72,29,32,1,0.02315,0.061347,Line,Closed,21.618479,-157.943953,21.55775,-157.905396,69.0,54.7293002,32.83758143
73,31,33,1,0.02696,0.057612,Line,Closed,21.56364,-158.185151,21.468626,-158.166919,69.0,68.07158692,25.86720271
74,33,34,2,0.03528,0.083927,Line,Closed,21.468626,-158.166919,21.4785,-158.0581,69.0,22.5222555,18.98626126
75,33,34,1,0.03528,0.083927,Line,Closed,21.468626,-158.166919,21.4785,-158.0581,69.0,22.5222555,18.98626126
76,35,37,1,0.00152,0.008374,Line,Closed,21.303419,-158.106528,21.356395,-158.128853,138.0,8.63596227,25.70062433
