,BusNum,LoadID,LoadMW,LoadMVR,LoadStatus,Latitude:1,Longitude:1,BusNomVolt
0,2,1,10.82,3.08,Closed,40.64,-89.6,69
1,4,1,2.68,0.76,Closed,39.87,-89.25,69
2,6,1,10.82,3.08,Closed,40.38,-88.11,69
3,8,1,34.77,9.91,Closed,40.71,-89.58,69
4,10,1,62.53,17.82,Closed,40.71,-89.65,69
5,12,1,0.48,0.14,Closed,39.8,-88.73,69
6,13,1,4,1.14,Closed,39.8,-88.73,69
7,16,1,70.86,20.19,Closed,39.82,-88.93,69
8,18,1,1.13,0.32,Closed,40.17,-89.56,69
9,19,1,1.22,0.35,Closed,40.17,-89.56,69
10,20,1,1.79,0.51,Closed,40.17,-89.56,69
11,21,1,7.29,2.08,Closed,40.17,-89.56,69
12,23,1,2.23,0.64,Closed,39.53,-88.8,69
13,24,1,3.79,1.08,Closed,39.53,-88.8,69
14,26,1,1.84,0.52,Closed,40.44,-87.89,69
15,28,1,3.69,1.05,Closed,39.44,-88.62,69
16,30,1,86.56,24.67,Closed,40.54,-89.62,69
17,32,1,0.7,0.2,Closed,40.38,-89.07,69
18,33,1,8.79,2.5,Closed,40.38,-89.07,69
19,35,1,32.87,9.37,Closed,39.83,-89.05,69
20,37,1,4.87,1.39,Closed,40.21,-89.3,69
21,38,1,40.67,11.59,Closed,40.21,-89.3,69
22,39,1,1.62,0.46,Closed,39.96,-89.52,69
23,39,2,10.1,2.88,Closed,39.96,-89.52,69
24,40,1,3.24,0.92,Closed,39.96,-89.52,69
25,41,1,60.65,17.28,Closed,40.11,-88.21,69
26,42,1,1.69,0.48,Closed,39.91,-89.69,69
27,42,2,15.12,4.31,Closed,39.91,-89.69,69
28,43,1,3.06,0.87,Closed,40.61,-89.12,69
29,44,1,1.5,0.43,Closed,39.95,-89.92,69
30,44,2,5.06,1.44,Closed,39.95,-89.92,69
31,46,1,8.65,2.46,Closed,40.34,-88.75,69
32,47,1,2.44,0.7,Closed,39.84,-88.95,69
33,48,1,2.48,0.71,Closed,40.31,-88.16,69
34,54,1,0.71,0.2,Closed,39.76,-88.99,69
35,54,2,3.51,1,Closed,39.76,-88.99,69
36,56,1,1.03,0.29,Closed,40.46,-88.75,69
37,56,2,0.76,0.22,Closed,40.46,-88.75,69
38,57,1,4.46,1.27,Closed,39.98,-89.28,69
39,58,1,1.36,0.39,Closed,40.23,-89.09,69
40,58,2,1.9,0.54,Closed,40.23,-89.09,69
41,58,3,2.51,0.72,Closed,40.23,-89.09,69
42,59,1,1.42,0.41,Closed,40.86,-89.14,69
43,59,2,5.51,1.57,Closed,40.86,-89.14,69
44,60,1,3.43,0.98,Closed,40.41,-89.67,69
45,60,2,2.13,0.61,Closed,40.41,-89.67,69
46,61,1,28.05,7.99,Closed,40.4,-88.84,69
47,62,1,13.53,3.86,Closed,39.82,-89.46,69
48,62,2,20.36,5.8,Closed,39.82,-89.46,69
49,63,1,5.26,1.5,Closed,39.94,-88.81,69
50,63,2,3.48,0.99,Closed,39.94,-88.81,69
51,63,3,3.9,1.11,Closed,39.94,-88.81,69
52,74,1,25.54,7.28,Closed,40.3,-88.3,69
53,75,1,5.27,1.5,Closed,40.79,-89.84,69
54,80,1,0.94,0.27,Closed,40.03,-88.72,69
55,80,2,1.4,0.4,Closed,40.03,-88.72,69
56,82,1,7.48,2.13,Closed,40.47,-88.35,69
57,82,2,2.87,0.82,Closed,40.47,-88.35,69
58,83,1,1.22,0.35,Closed,40.35,-89.32,69
59,83,2,3.06,0.87,Closed,40.35,-89.32,69
60,84,1,5.5,1.57,Closed,40.62,-88.99,69
61,85,1,7.65,2.18,Closed,40,-89.67,69
62,86,1,12.08,3.44,Closed,40.75,-89.57,69
63,88,1,74.28,21.17,Closed,39.77,-89.68,69
64,89,1,11.7,3.34,Closed,40.12,-88.96,69
65,89,2,3.12,0.89,Closed,40.12,-88.96,69
66,89,3,3.02,0.86,Closed,40.12,-88.96,69
67,89,4,67.92,19.36,Closed,40.12,-88.96,69
68,93,1,3.33,0.95,Closed,39.8,-88.35,69
69,93,2,1.52,0.43,Closed,39.8,-88.35,69
70,95,1,2.02,0.58,Closed,40.09,-89.12,69
71,95,2,1,0.28,Closed,40.09,-89.12,69
72,95,3,1.08,0.31,Closed,40.09,-89.12,69
73,96,1,4.03,1.15,Closed,40.14,-88.63,69
74,97,1,1.23,0.35,Closed,40.36,-89.9,69
75,97,2,1.06,0.3,Closed,40.36,-89.9,69
76,97,3,8.45,2.41,Closed,40.36,-89.9,69
77,99,1,17.82,5.08,Closed,40.85,-89.67,69
78,100,1,59.15,16.86,Closed,40.11,-88.27,69
79,101,1,0.76,0.22,Closed,40.7,-89.61,69
80,106,1,2.81,0.8,Closed,40.57,-88.87,69
81,107,1,71.72,20.44,Closed,40.47,-88.94,69
82,108,1,0.78,0.22,Closed,40.94,-89.94,69
83,108,2,6.58,1.88,Closed,40.94,-89.94,69
84,108,3,6.44,1.84,Closed,40.94,-89.94,69
85,109,1,2.5,0.71,Closed,40.3,-89.47,69
86,109,2,5.67,1.61,Closed,40.3,-89.47,69
87,110,1,15.91,4.53,Closed,40.7,-89.61,69
88,111,1,13.95,3.97,Closed,40.05,-88.26,69
89,117,1,49.93,14.23,Closed,40.71,-89.54,69
90,118,1,5.77,1.64,Closed,40.69,-89.79,69
91,119,1,1.28,0.36,Closed,40.87,-89.35,69
92,119,2,24.44,6.97,Closed,40.87,-89.35,69
93,120,1,2.85,0.81,Closed,40.09,-89.72,69
94,122,1,0.84,0.24,Closed,40.2,-88.81,69
95,122,2,0.27,0.08,Closed,40.2,-88.81,69
96,122,3,19.96,5.69,Closed,40.2,-88.81,69
97,129,1,105.4,30.04,Closed,40.53,-88.96,69
98,130,1,6,1.71,Closed,40.63,-88.79,69
99,131,1,44.32,12.63,Closed,40.74,-89.69,69
100,132,1,2.22,0.63,Closed,40.62,-89.34,69
101,132,2,2.26,0.64,Closed,40.62,-89.34,69
102,132,3,35.01,9.98,Closed,40.62,-89.34,69
103,137,1,1.84,0.52,Closed,39.86,-89.16,69
104,138,1,2.85,0.81,Closed,40.55,-88.51,69
105,139,1,8.32,2.37,Closed,40.74,-89.03,69
