,BusNum,BusNum:1,LineCircuit,LineR,LineX,BranchDeviceType,LineStatus,Latitude,Longitude,Latitude:1,Longitude:1,BusNomVolt,LineLimitPercent,LineMVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lim MVA C
1,2,1,1,0.00053,0.00314,Line,Closed,34.37,-81.09,34.37,-81.09,138,0,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,3,479,1,0.00726,0.0697,Line,Closed,34.14,-80.89,34.34,-80.7,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,4,3,1,0.00069,0.00352,Line,Closed,34.14,-80.89,34.14,-80.89,138,0,225.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,6,5,1,0.00056,0.00356,Line,Closed,35.01,-81.39,35.01,-81.39,138,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,7,262,1,0.00095,0.01375,Line,Closed,33.83,-80.62,33.98,-81.04,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,7,232,1,0.00112,0.01481,Line,Closed,33.83,-80.62,33.94,-81.15,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,8,457,1,0.00197,0.01895,Line,Closed,33.83,-80.62,33.89,-80.64,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,8,287,1,0.00373,0.03579,Line,Closed,33.83,-80.62,33.94,-80.69,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,8,7,1,0.00036,0.0129,Transformer,Closed,33.83,-80.62,33.83,-80.62,13.8,0,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,9,7,2,0.00012,0.01362,Transformer,Closed,33.83,-80.62,33.83,-80.62,138,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,9,7,1,0.00012,0.01362,Transformer,Closed,33.83,-80.62,33.83,-80.62,138,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,10,349,1,0.0014,0.01346,Line,Closed,34.19,-81.87,34.17,-81.9,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,11,10,1,0.00065,0.0032,Line,Closed,34.19,-81.87,34.19,-81.87,138,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,12,441,1,0.00156,0.01502,Line,Closed,34.64,-82.41,34.6,-82.44,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,12,304,1,0.00231,0.02119,Line,Closed,34.64,-82.41,34.7,-82.46,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
